Optical Parameter Monitor
7.0.5319.1035
Delimiter Used: ; ';'

Start of Measurement ; 5/6/2026 08:42:18
Sample Interval ; 10 s
; PM100D 701683
Type; PM100D
Serialnumber; P0016663
Sensor; S170C
SensorSerialnumber; 701683
Wavelength / Responsivity; 355 nm

;;;PM100D 701683;
Samples ;Date (MM/dd/yyyy) ;Time of day (hh:mm:ss) ;Power (W);
0; 5/6/2026; 08:42:18.055;0,00011541
1; 5/6/2026; 08:42:28.246;0,00029327
2; 5/6/2026; 08:42:38.249;0,00051563
3; 5/6/2026; 08:42:48.261;0,0011582
4; 5/6/2026; 08:42:58.272;0,0022942
